EndpointCategory,ZETA_POTENTIAL,ZETA_POTENTIAL
Protocol,Predictive model,Predictive model
Guideline,http://example.com/model/123,http://example.com/model/456
type_of_study,,
type_of_method,,
data_gathering_instruments,,
Endpoint,ZETA POTENTIAL,ZETA POTENTIAL
Cell,,
MEDIUM,Human Serum,Human Serum
Model,http://example.com/model/123,http://example.com/model/456
Designation,,
Units,mV,mV
G15.AC,-21.78,-16.78
G15.AHT,15.22,20.22
G15.Ala-SH,-24.08,-19.08
G15.Asn-SH,-20.27,-15.27
G15.AUT,16.35,21.35
G15.CALNN,-21.42,-16.42
G15.CIT,-25.26,-20.26
G15.cPEG5K-SH,-12.29,-7.29
G15.cPEG5K-SH (LD),-6.33,-1.33
G15.CTAB,-5.01,-0.01
G15.DDT@BDHDA,13.49,18.49
G15.DDT@CTAB,19.6,24.6
G15.DDT@DOTAP,13.92,18.92
G15.DDT@ODA,25.83,30.83
G15.DDT@SA,-29.37,-24.37
G15.DDT@SDS,-21.68,-16.68
G15.DTNB,-24.32,-19.32
G15.F127,-8.96,-3.96
G15.Gly-SH,-17.77,-12.77
G15.HDA,11.21,16.21
G15.LA,-26.48,-21.48
G15.MAA,-24.17,-19.17
G15.MBA,-26.65,-21.65
G15.MES,-25.55,-20.55
G15.Met-SH,-22.2,-17.2
G15.MHA,-24.38,-19.38
G15.MHDA,-25.65,-20.65
G15.MPA,-27.52,-22.52
G15.mPEG1K-SH,-7.56,-2.56
G15.mPEG20K-SH (LD),-2.47,2.53
G15.mPEG2K-SH,-6.3,-1.3
G15.mPEG5K-SH,-9.71,-4.71
G15.mPEG5K(NH2)-SH,-12.31,-7.31
G15.MSA,-24.92,-19.92
G15.MUA,-21.13,-16.13
G15.MUEG4,-2.84,2.16
G15.MUTA,18.17,23.17
G15.nPEG5K-SH,7.17,12.17
G15.nPEG5K-SH (LD),-9.35,-4.35
G15.NT@DCA,-4.78,0.22
G15.NT@F127,-3.07,1.93
G15.NT@PSMA-AAP,-20.23,-15.23
G15.NT@PSMA-EA,-21.32,-16.32
G15.NT@PSMA-EDA,-18.3,-13.3
G15.NT@PSMA-Urea,-13.98,-8.98
G15.NT@PVA,-2.02,2.98
G15.ODA,18.85,23.85
G15.PAH-SH,12.19,17.19
G15.PEG3K(NH2)-SH,-7.85,-2.85
G15.PEI-SH,15.27,20.27
G15.Phe,-28.93,-23.93
G15.Phe-SH,-16.94,-11.94
G15.PLL-SH,19.01,24.01
G15.PVA,-6.94,-1.94
G15.PVP,-7.34,-2.34
G15.SA,-24.63,-19.63
G15.Ser-SH,-20.4,-15.4
G15.SPP,-23.58,-18.58
G15.T20,-10.71,-5.71
G15.Thr-SH,-18.46,-13.46
G15.TP,-21.75,-16.75
G15.Trp-SH,-17.95,-12.95
G30.AC,-33.12,-28.12
G30.AUT,19.23,24.23
G30.CALNN,-29.75,-24.75
G30.CFGAILS,-28.75,-23.75
G30.cPEG5K-SH,-20.96,-15.96
G30.DDT@BDHDA,19.93,24.93
G30.DDT@CTAB,7.35,12.35
G30.DDT@DOTAP,20.08,25.08
G30.DDT@HDA,18.93,23.93
G30.LA,-32.37,-27.37
G30.MAA,-28.55,-23.55
G30.Met-SH,-30.57,-25.57
G30.MHDA,-33.48,-28.48
G30.mPEG20K-SH (LD),-6.89,-1.89
G30.MUA,-32.67,-27.67
G30.MUTA,24.34,29.34
G30.NT@F127,-4.96,0.04
G30.PAH-SH,16.08,21.08
G30.Thr-SH,-27.78,-22.78
G30.TP,-33.97,-28.97
G60.AUT,19.11,24.11
G60.CIT,-34.58,-29.58
G60.cPEG5K-SH (LD),-19.12,-14.12
G60.CTAB,-21.45,-16.45
G60.CVVIT,-36.08,-31.08
G60.DDT@BDHDA,22.78,27.78
G60.DDT@DOTAP,25.73,30.73
G60.DTNB,-37.05,-32.05
G60.HDA,21.63,26.63
G60.MBA,-34.72,-29.72
G60.MPA,-38.62,-33.62
G60.mPEG20K-SH,-0.6,4.4
G60.mPEG5K-SH,-3.1,1.9
G60.MUTA,24.14,29.14
G60.nPEG5K-SH,9.82,14.82
G60.NT@PSMA-AP,-41.68,-36.68
G60.NT@PVA,-2.31,2.69
G60.ODA,22.63,27.63
G60.Phe-SH,-28.83,-23.83
G60.PVA,-7.62,-2.62
G60.Ser-SH,-34.23,-29.23
G60.SPP,-30.7,-25.7
G60.Trp-SH,-33.47,-28.47
S40.AUT,,
S40.CIT,,
S40.cPEG5K-SH,,
S40.DDT@DOTAP,,
S40.HDA,,
S40.LA,,
S40.MAA,,
S40.MBA,,
S40.MES,,
S40.MHDA,,
S40.mPEG5K-SH,,
S40.MUTA,,
S40.nPEG5K-SH,,
S40.PLL-SH,,
S40.PVA,,
S40.SA,,
